;BELO HORIZONTE;BRASÍLIA;CAMPO GRANDE;CAXIAS DO SUL;CUIABÁ;CURITIBA;FLORIANÓPOLIS;FORTALEZA;GOIÂNIA;JUIZ DE FORA;MACEIÓ;PORTO ALEGRE;RIO DE JANEIRO;SALVADOR;SÃO PAULO
BELO HORIZONTE;;716;;;1594;;;;906;272;;;434;1372;586
BRASÍLIA;716;;1134;;1133;;;;209;;;;;1446;
CAMPO GRANDE;;1134;;;;;;;;;;;;2568;
CAXIAS DO SUL;;;;;;584;478;;;1498;;131;;;982
CUIABÁ;1594;1133;;;;;;3406;934;;;;;;
CURITIBA;;;;584;;;300;;;;;711;;;408
FLORIANÓPOLIS;;;;478;;300;;;;;;476;;;705
FORTALEZA;;;;;3406;;;;;;1075;;;1389;
GOIÂNIA;906;209;;;934;;;;;1174;;;1338;;
JUIZ DE FORA;272;;;1498;;;;;1174;;;;184;;
MACEIÓ;;;;;;;;1075;;;;;;632;
PORTO ALEGRE;;;;131;;711;476;;;;;;;;
RIO DE JANEIRO;434;;;;;;;;1338;184;;;;1649;
SALVADOR;1372;1446;2568;;;;;1389;;;632;;1649;;
SÃO PAULO;586;;;982;;408;705;;;;;;;;
